sentiment	workerid	tweetid	tweet
negative	AL9AA2AQKJ0XP	25560	Y a des jours où je suis tellement con que même mon ombre m’unfollow.
negative	A2LHD8XIKKNNND	25560	Y a des jours où je suis tellement con que même mon ombre m’unfollow.
negative	A1IQ8YHTZLFEVG	25560	Y a des jours où je suis tellement con que même mon ombre m’unfollow.
positive	AX1YZTIROOQG6	8778	Xperia™ arc | Téléphone tactile Android - Sony Ericsson ~http  via @user // Me plaît beaucoup!!
positive	A3NRGD5KWZIN5O	8778	Xperia™ arc | Téléphone tactile Android - Sony Ericsson ~http  via @user // Me plaît beaucoup!!
positive	AL9AA2AQKJ0XP	8778	Xperia™ arc | Téléphone tactile Android - Sony Ericsson ~http  via @user // Me plaît beaucoup!!
negative	AIK9MZOWM9F4Y	41895	xD RT @user Pervers: quelque chose ne va pas avec cette photo?! ~http
neutral	A3NRGD5KWZIN5O	41895	xD RT @user Pervers: quelque chose ne va pas avec cette photo?! ~http
negative	A2LHD8XIKKNNND	41895	xD RT @user Pervers: quelque chose ne va pas avec cette photo?! ~http
na	AL9AA2AQKJ0XP	184654	WTF ?! Ils ont aussi passé un accord avec Microsoft (Bing) o.0 ! ♺ @user Yahoo rejoint la Fondation Linux via @user ~http 
neutral	A3NRGD5KWZIN5O	184654	WTF ?! Ils ont aussi passé un accord avec Microsoft (Bing) o.0 ! ♺ @user Yahoo rejoint la Fondation Linux via @user ~http 
negative	A2LHD8XIKKNNND	184654	WTF ?! Ils ont aussi passé un accord avec Microsoft (Bing) o.0 ! ♺ @user Yahoo rejoint la Fondation Linux via @user ~http 
positive	A3NRGD5KWZIN5O	35408	Woot  #LesChefs! ce soir mon répis du lundi :D
na	AIK9MZOWM9F4Y	35408	Woot  #LesChefs! ce soir mon répis du lundi :D
positive	A2LHD8XIKKNNND	35408	Woot  #LesChefs! ce soir mon répis du lundi :D
neutral	A3NRGD5KWZIN5O	99262	Windows Phone : Microsoft retire AVG du MarketPlace; accusé d'espionner les utilisateurs: L'anti-virus gratuit e... ~http 
negative	A472U5IT356FS	99262	Windows Phone : Microsoft retire AVG du MarketPlace; accusé d'espionner les utilisateurs: L'anti-virus gratuit e... ~http 
negative	AIK9MZOWM9F4Y	99262	Windows Phone : Microsoft retire AVG du MarketPlace; accusé d'espionner les utilisateurs: L'anti-virus gratuit e... ~http 
positive	A2XWC57PG6KWUB	104717	Windows 8 : Microsoft promet des vitesses inégalées ~http  via @user
positive	A2LHD8XIKKNNND	104717	Windows 8 : Microsoft promet des vitesses inégalées ~http  via @user
positive	AL9AA2AQKJ0XP	104717	Windows 8 : Microsoft promet des vitesses inégalées ~http  via @user
na	AIK9MZOWM9F4Y	88898	Wikileaks révèle la guerre menée par Microsoft contre le Logiciel Libre en Tunisie ~http 
neutral	A2LHD8XIKKNNND	88898	Wikileaks révèle la guerre menée par Microsoft contre le Logiciel Libre en Tunisie ~http 
neutral	A3NRGD5KWZIN5O	88898	Wikileaks révèle la guerre menée par Microsoft contre le Logiciel Libre en Tunisie ~http 
negative	AL9AA2AQKJ0XP	184625	Whaou; beau #fail pour Sony au niveau du changement de password sur le PSN hier soir !
neutral	A2LHD8XIKKNNND	184625	Whaou; beau #fail pour Sony au niveau du changement de password sur le PSN hier soir !
na	AIK9MZOWM9F4Y	184625	Whaou; beau #fail pour Sony au niveau du changement de password sur le PSN hier soir !
negative	A3NRGD5KWZIN5O	24526	Wendy vient me cherchée pour aller au carrefour des stars ; j'ai peur qu'elle s'envole avec le temps qui fais. :/
negative	A2LHD8XIKKNNND	24526	Wendy vient me cherchée pour aller au carrefour des stars ; j'ai peur qu'elle s'envole avec le temps qui fais. :/
na	AIK9MZOWM9F4Y	24526	Wendy vient me cherchée pour aller au carrefour des stars ; j'ai peur qu'elle s'envole avec le temps qui fais. :/
positive	AL9AA2AQKJ0XP	23927	Welcome @user fais comme chez toi toussa hein :)
positive	A472U5IT356FS	23927	Welcome @user fais comme chez toi toussa hein :)
positive	A2LHD8XIKKNNND	23927	Welcome @user fais comme chez toi toussa hein :)
positive	A2LHD8XIKKNNND	31891	Week-end je t'accueille à bras ouverts :)
positive	A3NRGD5KWZIN5O	31891	Week-end je t'accueille à bras ouverts :)
positive	AIK9MZOWM9F4Y	31891	Week-end je t'accueille à bras ouverts :)
negative	AL9AA2AQKJ0XP	1140	Vu; oui. Pas étonnant; #Kadhafi a violé bcp de femmes; aessayé de violer une journaliste française.RT @user  ~http 
na	AIK9MZOWM9F4Y	1140	Vu; oui. Pas étonnant; #Kadhafi a violé bcp de femmes; aessayé de violer une journaliste française.RT @user  ~http 
negative	A2UR4Y9JW4687P	1140	Vu; oui. Pas étonnant; #Kadhafi a violé bcp de femmes; aessayé de violer une journaliste française.RT @user  ~http 
neutral	AL9AA2AQKJ0XP	47037	Vu sur @user Universités : Valérie Pécresse s'inspire du modèle allemand  Par Marie-Estelle Pech ~http 
neutral	A472U5IT356FS	47037	Vu sur @user Universités : Valérie Pécresse s'inspire du modèle allemand  Par Marie-Estelle Pech ~http 
neutral	A2LHD8XIKKNNND	47037	Vu sur @user Universités : Valérie Pécresse s'inspire du modèle allemand  Par Marie-Estelle Pech ~http 
negative	AL9AA2AQKJ0XP	45117	vu mon humeur ou faut pas ma faire chier!!!
negative	A472U5IT356FS	45117	vu mon humeur ou faut pas ma faire chier!!!
negative	A2LHD8XIKKNNND	45117	vu mon humeur ou faut pas ma faire chier!!!
positive	A2LHD8XIKKNNND	9432	Vous pouvez reprendre une activité normale ! ~http 
neutral	AL9AA2AQKJ0XP	9432	Vous pouvez reprendre une activité normale ! ~http 
neutral	A3NRGD5KWZIN5O	9432	Vous pouvez reprendre une activité normale ! ~http 
neutral	AVR599BC03DOO	30526	Vous pouvez dès à présent rejoindre l'équipe du Kop-Lillois Rpl. Pour donner votre avis dès septembre sur le LOSC en direct sur RPL.
neutral	A3NRGD5KWZIN5O	30526	Vous pouvez dès à présent rejoindre l'équipe du Kop-Lillois Rpl. Pour donner votre avis dès septembre sur le LOSC en direct sur RPL.
neutral	A2LHD8XIKKNNND	30526	Vous pouvez dès à présent rejoindre l'équipe du Kop-Lillois Rpl. Pour donner votre avis dès septembre sur le LOSC en direct sur RPL.
negative	A2LHD8XIKKNNND	47684	VOUS INVITE A SIGNER LA PETITION CONTRE LA REFORME TERRITORIALE QUI EST UNE GRAVE REGRESSION POUR NOS POPULATIONS ET TERRITOIRES SIGNEZ VITE
negative	A2XWC57PG6KWUB	47684	VOUS INVITE A SIGNER LA PETITION CONTRE LA REFORME TERRITORIALE QUI EST UNE GRAVE REGRESSION POUR NOS POPULATIONS ET TERRITOIRES SIGNEZ VITE
negative	AX1YZTIROOQG6	47684	VOUS INVITE A SIGNER LA PETITION CONTRE LA REFORME TERRITORIALE QUI EST UNE GRAVE REGRESSION POUR NOS POPULATIONS ET TERRITOIRES SIGNEZ VITE
neutral	AX1YZTIROOQG6	138149	Vous feriez quoi avec le SAMSUNG GALAXY NOTE ?  ~http 
neutral	A2LHD8XIKKNNND	138149	Vous feriez quoi avec le SAMSUNG GALAXY NOTE ?  ~http 
neutral	AL9AA2AQKJ0XP	138149	Vous feriez quoi avec le SAMSUNG GALAXY NOTE ?  ~http 
positive	AIK9MZOWM9F4Y	199435	Vous en avez reve Sony l'a fait: des Vacances a la francaise au Japon ou presque ~http 
neutral	AX1YZTIROOQG6	199435	Vous en avez reve Sony l'a fait: des Vacances a la francaise au Japon ou presque ~http 
positive	A2LHD8XIKKNNND	199435	Vous en avez reve Sony l'a fait: des Vacances a la francaise au Japon ou presque ~http 
neutral	AL9AA2AQKJ0XP	11465	Vous êtez la ?
neutral	A2UR4Y9JW4687P	11465	Vous êtez la ?
na	AGI2JJZB08N71	11465	Vous êtez la ?
neutral	AX1YZTIROOQG6	37066	Vous êtes en carton les petits RT @user @user impeccable. J'ai des ampoules en marbre
positive	A2XWC57PG6KWUB	37066	Vous êtes en carton les petits RT @user @user impeccable. J'ai des ampoules en marbre
neutral	AL9AA2AQKJ0XP	37066	Vous êtes en carton les petits RT @user @user impeccable. J'ai des ampoules en marbre
neutral	A3NRGD5KWZIN5O	1845	Votre amour (version HD) - on Dailymotion ~http 
neutral	A2LHD8XIKKNNND	1845	Votre amour (version HD) - on Dailymotion ~http 
neutral	AL9AA2AQKJ0XP	1845	Votre amour (version HD) - on Dailymotion ~http 
neutral	AIK9MZOWM9F4Y	40297	Votez pour Kristen ou d'autres lol pour la meilleure robe portée au MET GALA 2011 sur le site just jared !!! - ~http 
positive	A2LHD8XIKKNNND	40297	Votez pour Kristen ou d'autres lol pour la meilleure robe portée au MET GALA 2011 sur le site just jared !!! - ~http 
neutral	A3NRGD5KWZIN5O	40297	Votez pour Kristen ou d'autres lol pour la meilleure robe portée au MET GALA 2011 sur le site just jared !!! - ~http 
positive	A3NRGD5KWZIN5O	3506	Voter s'il vous plait ( ou booster ) :D' ~http  ( @user )
neutral	AVR599BC03DOO	3506	Voter s'il vous plait ( ou booster ) :D' ~http  ( @user )
neutral	AX1YZTIROOQG6	3506	Voter s'il vous plait ( ou booster ) :D' ~http  ( @user )
negative	AL9AA2AQKJ0XP	49543	voisins qui ont appelé le samu .. viennent de l'emmener aux urgences .. pouvait plus bouger ....... Résultat dans 1 heure .... L'ANGOISSE
negative	A3NRGD5KWZIN5O	49543	voisins qui ont appelé le samu .. viennent de l'emmener aux urgences .. pouvait plus bouger ....... Résultat dans 1 heure .... L'ANGOISSE
negative	AIK9MZOWM9F4Y	49543	voisins qui ont appelé le samu .. viennent de l'emmener aux urgences .. pouvait plus bouger ....... Résultat dans 1 heure .... L'ANGOISSE
positive	AVR599BC03DOO	4878	vois Jessie J demaiiiiiin xD
na	AIK9MZOWM9F4Y	4878	vois Jessie J demaiiiiiin xD
positive	AX1YZTIROOQG6	4878	vois Jessie J demaiiiiiin xD
neutral	A3NRGD5KWZIN5O	27925	Voir Son doudou #ChosesQuiFontSourire
na	AIK9MZOWM9F4Y	27925	Voir Son doudou #ChosesQuiFontSourire
positive	AGI2JJZB08N71	27925	Voir Son doudou #ChosesQuiFontSourire
negative	AL9AA2AQKJ0XP	578	voir Nationale géographique dans mon état actuel; c'est comme se je venais d'apprendre que la terre est ronde. #BADTRIP
na	AIK9MZOWM9F4Y	578	voir Nationale géographique dans mon état actuel; c'est comme se je venais d'apprendre que la terre est ronde. #BADTRIP
neutral	A2LHD8XIKKNNND	578	voir Nationale géographique dans mon état actuel; c'est comme se je venais d'apprendre que la terre est ronde. #BADTRIP
neutral	AL9AA2AQKJ0XP	38001	Voici un avant-goût de ce qui vous attend au Parc de Gros-Cap cet été: ~http  #ilesdelamadeleine #voile
neutral	AIK9MZOWM9F4Y	38001	Voici un avant-goût de ce qui vous attend au Parc de Gros-Cap cet été: ~http  #ilesdelamadeleine #voile
neutral	A2LHD8XIKKNNND	38001	Voici un avant-goût de ce qui vous attend au Parc de Gros-Cap cet été: ~http  #ilesdelamadeleine #voile
positive	A2LHD8XIKKNNND	47531	Voici le lien pour avoir toutes les infos de l' AFTER WORK DU 08/06 AU Nautique :-) ~http 
neutral	AIK9MZOWM9F4Y	47531	Voici le lien pour avoir toutes les infos de l' AFTER WORK DU 08/06 AU Nautique :-) ~http 
neutral	A472U5IT356FS	47531	Voici le lien pour avoir toutes les infos de l' AFTER WORK DU 08/06 AU Nautique :-) ~http 
negative	A2XWC57PG6KWUB	1617	Virtual-beat fermé ou ca vient de chez moi ?
neutral	A2LHD8XIKKNNND	1617	Virtual-beat fermé ou ca vient de chez moi ?
negative	AL9AA2AQKJ0XP	1617	Virtual-beat fermé ou ca vient de chez moi ?
na	A2LHD8XIKKNNND	34001	Virginie tente de promouvoir le groupe en Suisse; si vous venez aussi de Suisse; venez l'aider ! :) ~http 
neutral	A2XWC57PG6KWUB	34001	Virginie tente de promouvoir le groupe en Suisse; si vous venez aussi de Suisse; venez l'aider ! :) ~http 
neutral	ADJEZQTOOC1TL	34001	Virginie tente de promouvoir le groupe en Suisse; si vous venez aussi de Suisse; venez l'aider ! :) ~http 
negative	AX1YZTIROOQG6	49269	Virgil après une nuit a vomir  @ Chez Marj ~http 
negative	A2XWC57PG6KWUB	49269	Virgil après une nuit a vomir  @ Chez Marj ~http 
negative	AL9AA2AQKJ0XP	49269	Virgil après une nuit a vomir  @ Chez Marj ~http 
neutral	A2LHD8XIKKNNND	51247	Vient de repeindre le flanc de sa voiture  couleur plâtre.
neutral	A2XWC57PG6KWUB	51247	Vient de repeindre le flanc de sa voiture  couleur plâtre.
neutral	AIK9MZOWM9F4Y	51247	Vient de repeindre le flanc de sa voiture  couleur plâtre.
na	AL9AA2AQKJ0XP	20325	Viens; on va arrêter de parler d’amour; et s’le montrer vraiment.
positive	A2LHD8XIKKNNND	20325	Viens; on va arrêter de parler d’amour; et s’le montrer vraiment.
na	A2UR4Y9JW4687P	20325	Viens; on va arrêter de parler d’amour; et s’le montrer vraiment.
neutral	AX1YZTIROOQG6	21314	Viens de voir "Arthur 3: La guerre des 2 mondes" de Luc Besson en 2010.
neutral	A2LHD8XIKKNNND	21314	Viens de voir "Arthur 3: La guerre des 2 mondes" de Luc Besson en 2010.
neutral	AL9AA2AQKJ0XP	21314	Viens de voir "Arthur 3: La guerre des 2 mondes" de Luc Besson en 2010.
neutral	AL9AA2AQKJ0XP	32458	Viens de mettre une 3DS à un ami sous le paillasson..mon ami viens dans 10 minutes pour la chercher. en éspérant que personne ne vole #prie
neutral	A2LHD8XIKKNNND	32458	Viens de mettre une 3DS à un ami sous le paillasson..mon ami viens dans 10 minutes pour la chercher. en éspérant que personne ne vole #prie
neutral	AIK9MZOWM9F4Y	32458	Viens de mettre une 3DS à un ami sous le paillasson..mon ami viens dans 10 minutes pour la chercher. en éspérant que personne ne vole #prie
neutral	AVR599BC03DOO	37127	Vieillir en France - LeMonde.fr: ~http  via @user
neutral	AIK9MZOWM9F4Y	37127	Vieillir en France - LeMonde.fr: ~http  via @user
neutral	AX1YZTIROOQG6	37127	Vieillir en France - LeMonde.fr: ~http  via @user
neutral	A3NRGD5KWZIN5O	43649	Vie privée et dernier né ... : ~http 
neutral	AIK9MZOWM9F4Y	43649	Vie privée et dernier né ... : ~http 
na	AGI2JJZB08N71	43649	Vie privée et dernier né ... : ~http 
neutral	A3NRGD5KWZIN5O	9652	Video: Musique Post-Bourgeoise - La Permanente ~http 
na	AIK9MZOWM9F4Y	9652	Video: Musique Post-Bourgeoise - La Permanente ~http 
na	AGI2JJZB08N71	9652	Video: Musique Post-Bourgeoise - La Permanente ~http 
positive	A2LHD8XIKKNNND	68947	Vidéo plein la tête avec le casque 3D de Sony (IFA 11):  C’est le coup de coeur du salon IFA 2011 : un casque vi... ~http 
neutral	A3NRGD5KWZIN5O	68947	Vidéo plein la tête avec le casque 3D de Sony (IFA 11):  C’est le coup de coeur du salon IFA 2011 : un casque vi... ~http 
positive	AGI2JJZB08N71	68947	Vidéo plein la tête avec le casque 3D de Sony (IFA 11):  C’est le coup de coeur du salon IFA 2011 : un casque vi... ~http 
