sentiment	numberagreed	tweetid	tweet
positive	3	90482	{MODE} Décontracté-habillé; ça adidas SLVR sait le faire. Quand l'élégance et la mode streetwear ne font qu'un ~http 
negative	3	25650	Jnsp ce qui est le plus frustrant ; se demander ce qu'on fiche sur le fil de certains; ou ce que certains fichent sur notre propre fil.
negative	3	44732	A ce moment même un grain de riz est resté coincé dans ma gorge #VDM
positive	3	9835	Youpi... Le Portugal à fait match Nul... Les TL ne sont pas bloqués à Lausanne !!!
neutral	3	37127	Vieillir en France - LeMonde.fr: ~http  via @user
negative	3	41650	motivation sous le niveau de la mer aujourd'hui ... :-|
neutral	3	38261	Nous allons présenter dans les prochains jours; une stratégie pour le développement de la e-santé;  Francois Fillon...
neutral	3	46290	oubliez pas d'acheter vos billets pour le show moonwalker au capitole de quebec: ~http
neutral	3	24383	Intercommunication; Rayonnement Web et Marketing Internet; étude de cas : ~http  #fb
neutral	3	165045	Après Pepsi; Nike lance en avant-première une grande campagne pub via les réseaux sociaux; 3 jours avant la... ~http 
negative	3	29957	PUTAIN J'AVAIS UNE CLASSE PARFAITE SAUF QU'ON ME CHANGE DE CLASSE. QUEL BAD.
neutral	3	19555	3 réalisateurs nous ont également déjà confirmé qu’ils feront bien le voyage du Japon pour assister à la... ~http 
neutral	3	14513	À qui le dernier billet blind birds du Web à Québec ? #waq2012 ~http
neutral	3	34344	Y'a du monde qui utilise Ping ?
neutral	3	7669	Tu penses que Goeffrey est gay? (@morganouatta live on ~http )
negative	3	4542	Tu bosses pas assez et tu voyages trop. T es pas un BON etranger; t es pas renouvele et toc ~http 
neutral	3	2297	Déjà une semaine depuis la fin de La Villa Saison 4; c'est l'occasion de se pencher sur les événements de la rentrée...
neutral	3	26194	Je rêve ou Cheryl Cole ne follow personne ?
positive	3	13942	Un resto alsacien au Luxembourg ? je vous conseille "La Petite Alsace" à Esch/Alzette. Très bon et personnel super sympa !
negative	3	41827	Il n'aura jamais la chance de vous prouver qu'il n'était pas si bon...Dommage  #DéputésFantômes #Npd
neutral	3	78992	Jeter ou ne pas jeter cette dizaine de Net MD powered by SONY dont je ne possède plus de lecteur.
neutral	3	15627	Nintendo a commencé à vendre sa console 3DS à un prix réduit de 40% au Japon pour tenter de relancer ses ventes. Source BFM business
neutral	3	123028	La nouvelle chanson de Justice "Civilization" est dans le nouveau spot Adidas is all in ~http 
neutral	3	1785	Press conference #JPPE #Luxembourg 2013 #liegames2011  ~http 
neutral	3	92005	Accord Microsoft / Yahoo! : Bruxelles se décidera en février : ~http 
negative	3	16655	Les "Hello September" et  "Goodbye August" sur twitter sont juste déprimants #débutdelafin
positive	3	23698	Je vous fait la bise a tous ;)
neutral	3	41447	Des trucs pour rester zen lors de la #rentrée scolaire : ~http 
neutral	3	25264	comment fait James Franco pour avoir exactement la même longueur de barbe pendant 127 heures... ? Faut qu'il m'explique ! :p
positive	3	42686	Poutrer du raptor en écoutant alphaville; la vie est belle nan ? #NowPlaying
neutral	3	42959	Les méthodes pour importer ses contacts dans Google+ ~http  via @user
neutral	3	57080	Ingénieur Conseil Grands Comptes CRM Dynamics H/F: MICROSOFT recherche des Ingénieurs Conseil Grands Comptes CRM... ~http
neutral	3	39839	Invitation : Finales régionales du Défi génie inventif 2011 ~http 
neutral	3	27405	Barack Obama va tweeter lui-même. Et Nicolas Sarkozy ? ~http
negative	3	103081	Putain quel con; j'ai oublié la 1ère règle de base qui consiste à ne JAMAIS mettre à jour un produit Microsoft qui fonctionne
positive	3	21047	de belles icônes  ~http 
neutral	3	38396	"COUSCOUS BOULETTES DE VIANDE" ~http 
positive	3	63255	je viens d'essayer un Audi Q5 ... J'en veux un!
positive	3	42661	Y'a pas à dire; y'a du gros DJ résident sur FG; j'donnerais très cher pour mixer là bas...
negative	3	49464	ll répond même pas au textos . Ou il fait la gueule ou il dort :/
neutral	3	32022	Découvrez cette vidéo -- Come home to me by justin bieber - Ernie Hatler cover ~http  via @user
neutral	3	17319	Commerce électronique : rappel des obligations  ~http 
neutral	3	32982	"11 septembre; 10 ans après" les vérités cachées d'une tragédie! Un documentaire choc en DVD le 12/09 chez M6 Vidéo...
neutral	3	135927	Musique & nintendo DS. À plus tard.
na	3	15322	見えてますよ＾＾ ( #chabudai live at ~http )
neutral	3	47335	Apple vs. Samsung : le Galaxy Tab 10.1 est banni de manière permanente en Allemagne: Le sort de la table... ~http  Clubic:
neutral	3	14961	“@initiationphilo: "Quand Hérodote rendît la liberté aux hommes avec l'histoire" ~http 
neutral	3	56839	Chez vous; au travail ou à l’école; choisissez la version de Microsoft #Office2010 qui vous convient : ~http  ^SB
negative	3	2961	Le problème avec les "influents" sur twitter c'est qu'ils se font tous des fellations entre eux.
positive	3	33113	Ça y est c'est en ligne!!!!!!'
negative	3	11462	Oais; clair ; moi non plus je comprends pas !
neutral	3	47347	Il ne faudra pas cligner des yeux sinon on ratera le boot !: Microsoft lache au compte goutte ses news s... ~http  Korben:
neutral	3	40137	Kristen pourrait être présente a la première du film a Better Life de Chris Weitz demain ! Affaire a suivre ... -
negative	3	28436	Concrètement ; là j'sais pertinemment que j'vais pas assumer cette journée ..
positive	3	13368	Demain;départ pour la Turquie...enfin!!
neutral	3	32614	Mais je ferais ces débats un autre soir. Je vais finir de me préparer avec Elodie; see ya !
neutral	3	17686	on sais tous que celui qui rentre ce soir va gagnais #SS5
neutral	3	37528	Mon avis sur HD Land; Paris : ~http 
positive	3	13381	Plus que 5h30 de boulot demain et à moi la joie des vacances!!
neutral	3	92783	Gaming Zone Coca Zero | Wii U : premières impressions sur la nouvelle console de Nintendo ~http 
neutral	3	41750	Cigares aux crevettes et épinards ~http 
positive	3	14438	Mais c'est que @user est zoli garçon hein!! Tu as li yeux comme li soleil sur le fleuve Niger walaye!!
negative	3	49746	j'en ai marre que mon Itouch m'indique souvent "Messenger : Vous êtes déconnecté" HAAAAA
positive	3	21584	Super le film 27 robes :)
neutral	3	27510	Dans le Thalys direction Bruxelles une fois; et sa place financière...
negative	3	24844	Tu me dégoutes chéri .... #WTF
na	3	35629	Nazoluka mutu aprolongéle nga séjour svp! Na'okoka kozonga Paname tse! Motem'eboyi! #LundiLingala
negative	3	30466	Mais vas faire ta guerre civile et fais pas chier le monde putain de sous-homme
neutral	3	11121	Comment il s'apelle le mec qui a fais une TC Samedi ? Le mec avec les Lunette ? (@_baptistehury live on ~http )
neutral	3	103797	Dossier : E3 2010 - L'avenir de Nintendo vu par Tojraf ~http 
neutral	3	134629	Les Nike Mag de "Retour vers le futur" sont disponibles à la vente : ~http 
negative	3	41327	encore +4500 chaummeurs ~http 
neutral	3	24423	Cross national de Rennes Métropole 2010 - Sports et Animations toute la journée avec même un CaniVTT et un CaniCross ! ~http 
negative	3	50675	Ca commence : le train n'est pas là qu'il déjà en retard :'(
neutral	3	2176	Ce qui menace le printemps arabe ~http 
positive	3	6587	Super sa. Bonne soiré. Bisous ! :)
neutral	3	36827	je vous retrouverai ce mercredi 22 juin à 19h00 sur France 5; dans l'émission "C à vous" présentée par Alessandra Sublet
positive	3	14172	Toujours aussi bon; ça rend tellement les lundis agréables! #lagalere
neutral	3	3100	Une nouvelle gamme bientôt disponible???
neutral	3	33592	J’ai publié 3 photos sur Facebook; dans l’album Paris ou Province... Saurez-vous faire la différence ? ~http 
neutral	3	42788	Question existentielle :  Pourquoi à chaque fois qu'il fait chaud je bois du lait ?
neutral	3	56241	Première analyse du passage de Yahoo! France à Bing pour ses résultats naturels ~http  Blog Abondance
neutral	3	26192	ça veut dire quoi " lolance " ?
neutral	3	33520	Je vais me clamer avec les retweets; promis...
neutral	3	45281	Un album Boom Bap + Un album Deepkho  + une mixe tape. pour mettre d'accord les gens!!!
negative	3	9131	c'est @user qui a provoqué irene avec ses sons trop lourds ! #vraiment
positive	3	7863	Aaaaah enfin; le nouveau site de mon agence web est en ligne  ~http
negative	3	10950	J'y crois pas; genre je suis chez #HSBC et la dame de l'accueil ne sait même pas parler Anglais s'il te plait.
positive	3	2313	L’événement que tout le monde attend chaque été est de retour ! ~http  (Places limitées)
negative	3	514	Franchement; en lisant les spec. du mouchard d'Hadopi; autant couper le net en France : ca serait plus simple et moins hypocrite!
neutral	3	145042	Femmes Gucci &gt; Femmes Guess
negative	3	1740	Embrouille entre ayem et aurelie #Clash
negative	3	46364	je vais manger... je me sens trooooop déprimée et seule au monde : ( pourquoi tout le monde va mal en ce moment? je sais plus quoi faire
negative	3	15908	Ayem qui reproche a Marie de lui manquer de respect. Il y a quelques semaines elle l'a quand même traité de biatch #jediscajedisrien
neutral	3	42950	Auto-entrepreneur : Comment vous faire connaître ?: ~http  via @user
negative	3	191745	Retard du train : 40min youpi. Nike la France la #SNCF
negative	3	8794	les jours se suivent...et en ce moment ils sont de plus en plus oppressants!
neutral	3	47166	L'arme fatale 2 sur la... 2
positive	3	28358	Jcrois jvai réécouté le code de l'horreur... Sa fait longtemps que je l'ai pas écoutè du début a la fin. #MeilleurAlbum
neutral	3	12105	Cyclisme : Voeckler et Contador à Castillon ! - SudOuest.fr ~http  via @user
neutral	3	190321	Je suis la conférence Nintendo #E32011 en direct sur @user et je participe au concours pour gagner Nintendogs 3DS ~http 
positive	3	39058	12 #FF aujourd'hui; je suis au ange; encore merci à tous; et à lundi pour encore plus de tweet; bon weekend !!
positive	3	78464	joli ! RT @user un mec bien agile + informatique = une superbe pub // Samsung : libérez vos doigts Galaxy S2 ~http
neutral	3	90471	{HIGHTECH} Le nouveau compact multiview de Samsung : LE COMPACT AVEC ECRAN TACTILE PIVOTANT A 180° ~http 
negative	3	25014	Je suis très déçue.. @user m'a même pas raconté sa rentrée alors qu'elle l'a raconté à @user ! snif :(
positive	3	21542	Y'a deux mecs qui ont trop la classe sur Twitter : @user & @user ♥
negative	3	27433	Impossible de voir réellement ce qui est publié de ci de là; incapable de tenir une revue de presse.
positive	3	47936	Coucou tous le monde ! Ce twitter LAFEE  FAN CLUB a été créer seulement sur la Star LaFee ! ~http 
positive	3	5628	Et vive la Bastille. : ~http 
negative	3	34995	Ben dans ma commune les gens ont l'esprit étroit...
neutral	3	8947	Pourquoi Romain Sheller est en TT mondial ?
positive	3	36415	hp climatisation (5/5): Je pense que toto123 est un peut toto le service a la clientele est tres bon et ont a une ... ~http 
neutral	3	39069	Un graphique qui résume l'état actuel de Twitter : ~http  (via @user )
neutral	3	77687	EXCLUSIF: Alex Verrey vous présente maintenant les nouveaux casques officiels sans-fil co-brandés Microsoft et TRITTON ~http
neutral	3	47037	Vu sur @user Universités : Valérie Pécresse s'inspire du modèle allemand  Par Marie-Estelle Pech ~http 
neutral	3	13271	tes fan de quel chanteur ou chanteuse ?  (@PierreBeliebs live on ~http )
neutral	3	42006	Salman Rushdie pense que la série télé a prit la place du cinéma et du roman; et vient de créer une nouvelle série  ~http
neutral	3	22356	Comment Samsung s'y est prit pour te faire acheter ses TV 3D - ~http 
positive	3	89863	Fini la sueur dans le dos; j'ai mon sac en bandoulière adidas !!!
positive	3	27693	Bonne fête moman ;)
neutral	3	49393	Astridsexylingerie - Site Web du commentaireAstridsexylingerie.fr- TalkReviews.fr ~http  via @user
neutral	3	175370	Découvrez cette vidéo -- Paris Hilton Ad /Devassa Beer ~http 
neutral	3	34669	GAGNEZ un Samsung Galaxy S & découvrez les jeuxHD en GRATUIT ~http  & @user
positive	3	68751	[News] Sony Ericson a une « grande surprise à annoncer » ~http
neutral	3	41861	Kulbuto sur Reverb Nation ! ~http 
positive	3	31898	Je sens l'été se rapprocher ce matin...le soleil est chaud...j'ai acheter quelques livres ça devrait être bon pour une semaine :)
positive	3	6517	On est le 2 septembre; l'été commence; tout va bien
neutral	3	51183	Joe Torsella; Ambassadeur américain en charge de la reforme de l’ONU en visite au Nord #Kivu ~http 
negative	3	7894	N'importe quoi... Samsung demande l'iPhone 4S; l'iPhone 5 et l'iPad 3 à Apple ~http
negative	3	25621	Certains pratiquent la levrette de la pseudo-information. Et ils osent se dire "écoeurés"; ms ne se sentent pas du tt "écoeurants".
neutral	3	35587	Besoin du soutient de tous ses amis twittos venez voter pour le groupe boze  le 20avril a la scène bastille ~http
neutral	3	45437	MIUI France ouvre officielement ses portes ~http  #android #miui
positive	3	51023	Ce soir c'est le grand soir ! La suite de La Chanson Du Dimanche; La Série sur @user !
neutral	3	38664	J'ai rejoint le hub Viadeo Lyon; ville de réseau : ~http
neutral	3	47358	Insolite : une campagne de pub Nike dévoile les baskets du futur... un air de déjà-vu ?: Par l'intermédi... ~http  Clubic:
neutral	3	20831	Toi aussi commande le tien ! RT @user Magnitude 9 sort dans 1 semaine ! ~http  #japon #aide
negative	3	10904	Effectivement RT @user Ben; ça me choque de voir des gens tellement malhonnêtes qu'ils présument la malhonnêteté de tout le monde #assnat
negative	3	29760	J'attend qu'une chose la; me casser du Lycée; je suis tellement l'INTRU que c'est anormal que j'y sois toujours...
neutral	3	45067	Les prémices de nos prochains moyens de communication. SmartAR : la réalité augmentée selon Sony ~http 
negative	3	22200	Les weekends ne seront jamais assez longs snif snif :'(
neutral	3	128781	Part pour une journée marathon; conférences pré-salon à foison et si on commençait par Microsoft ?
neutral	3	27437	Je souhaite qu'aucun bénéfice personnel ne soit tiré de cet incroyable Buzz; et souhaiterais qu'une asso utile bien gérée l'utilise
neutral	3	69060	BUILD; l’événement Microsoft – 13 septembre 2011 – 17H30 ~http 
neutral	3	182303	Bon faut vraiment que je me rachète une manette de nintendo 64. Qui en a une qui s'en sert pas? RT please
neutral	3	7471	Reading 10 mai 1981 : souvenir d’une soirée pas comme les autres ~http 
positive	3	116224	La meilleure nouvelle de la journée : Nike va commercialiser les chaussures de "Retour vers le futur"; ~http 
negative	3	98568	Et la série "Les Geeks" par Samsung est une vraie chiotte. ~http 
neutral	3	35464	Salut;jss £lysee 20ans a kfour g besoin ds amies mn#est 3104 7048
neutral	3	88938	Tulalip : futur réseau social de Microsoft ? ~http 
neutral	3	63297	Aujourd'hui; vous pouvez gagner un duo Samsung composé d'un Galaxy S et d'un Galaxy tab ! Pour jouer; envoyez le mot LUCK par SMS au 71004.
neutral	3	192080	Il y avait pas un truc qui devait se dérouler aujourd'hui concernant Nokia et Microsoft en Allemagne ??!?
neutral	3	3576	Inscrivez-vous à l'atelier d'O2Zone TV demain à #lift10 ~http  ; et retrouvez-les sur lift Experience !
positive	3	36142	EN VACANCES !!!!!!!!!!!!!!!!
neutral	3	13841	« La seule place où le succès vient avant le travail c’est dans le dictionnaire. » - Arthur Brisbane
positive	3	49311	L'étè c'est plus qu'une saison; c'est un état d'esprit. #fête #plage #soleil #mer
positive	3	1954	Ceci dit; être réveillé par un appel d'un réal plutôt connu pour son âge; CA FAIT PLAISIR.
neutral	3	190322	Je suis la conférence Nintendo #E32011 en direct sur @user et je participe au concours pour gagner Pilotwings Resort ~http 
positive	3	36196	Escalier à double hélice de Chambord :) quel génie ce Leonard :) ~http 
positive	3	18013	aaaaiiiiiiieeeeeeeeeee retour a Panam! #c ca ké bon
positive	3	27550	J'aime !! RT @user J'ai trouvé MES chaussures noires hyper confo: MKors chez Ogilvy chaussures (178$) YEAH!!! ~http
negative	3	21438	Bon aller juste 10 follower ; je vous demande pas @user non plus !
positive	3	47059	Les gens s'amusent ... Je les regarde en me disant que dans peu de temps viendra mon tour... Ma vie à changée !
positive	3	4679	Juste superbe ! RT @user Action collective de ouf oO  ~http  #rugby (via @user) // quel essai!
neutral	3	19043	Découvrez cette vidéo -- King Bem's - Victory ( Teaser ) ~http  via @user
neutral	3	27978	Découvrez cette vidéo -- Jaïan k This woman clip officiel 2011/DJ MIKE PROD-MERIZIAK PROD ~http  via @user
neutral	3	185780	Recherche à Paris Architecte solutions serveur Microsoft ~http 
positive	3	34486	Hello Followers !! Je serais présente au Stage de Popping-Boogaloo à la MJC Jacques Prévert du Mans le 10 et 11 Mars prochain ;) .  ♥
neutral	3	19863	Ah; les ministres européens sont de sortie à l'hôtel Royal si j'en juge par les voitures et les motards stationnés devant.
neutral	3	46438	La prochaine AG du @user aura lieu mercredi 13 Octobre! A l'ordre du jour: la préparation du prochain débat #Perspectives2012. A mercredi!
neutral	3	31307	Mon fond de teint d’été ~http 
positive	3	18145	HEYY LES GENS ! X)  Je suis avec Ma Meilleure Amiee :)  Je t'aime Ludyy &lt;3
negative	3	27935	Je pense trop. Je fume trop. Je ne dors pas assez. Je gache trop d’encre pour écrire des choses que jamais personnes ne lira
neutral	3	45482	MINES ParisTech; partenaire de Bonduelle sur le projet ambitieux d'« usine sobre » peu énergivore via @user  ~http
positive	3	19304	Trop classe la rentrée chez Sarenza.com ! 6 ans de chaussures et un week-end anti coup de pompe à Paris à gagner ! ~http 
negative	3	16045	les gamelles de Lituanie France sont plus écoeurantes que celles d'une partie de baby foot
negative	3	13909	Il pleut; il pleut de Lille ; Tourcoing et Calais :(
positive	3	27161	Cannes; Porquerolles; Toulon; Aix... Trop bon les vacances !!!
negative	3	49544	Mon père vient de m'appeler ... mon frère est tombé de son toit en nettoyant les tuiles; lui même ne s'est aperçu de rien ^^ Ce sont des
negative	3	18766	Est super fatiguée et dois bosser =(
neutral	3	2454	Raphael cette chanson n'était pas pour toi Loulou #XFACTOR
negative	3	6531	pas trop envie de travailler quand au mois d'août personne décroche son tel
neutral	3	46453	Martine Aubry devant le @user. Et à 40'44" l'intervention de @user du @user sur l'Alloc. d'Autonomie! ~http 
neutral	3	82073	Y'a t'il un magasin vendant des Nike Air Troupe; sur Paris? (avec du choix si possible ^^)
positive	3	5112	PTDR @user j'viens de repenser à un truc ... "Fais ton GRR" XD #MissU!!!!!
negative	3	28093	#3 Les profs se font gravement chier pendant les surveillances du bac. Moi aussi cela dit.
negative	3	30842	Le sms "on va au lycée ensemble lundi?" qui tue. On va où tu veux quand tu veux mais pas au lycée; pas lundi :'(
neutral	3	38221	“@Pilar_Institute: Le Comité d’agrément des hébergeurs de données de santé personnelles publie son rapport d’activité 2006-2011
neutral	3	148037	La Tribune : Microsoft admet être  « tout petit » dans le mobile
positive	3	40016	Hello twitterworld!! Un pti coucou a tous en direct du taf pdt la pause clope lool
positive	3	19457	Premier jeu ps3 terminé : Uncharted. Un très bon jeu avec un scénario sympathique et des gunfights passionnants. C'est 8. #Uncharted #Cest8
neutral	3	25235	#MRAS3 Ce n'est pas le média qui détermine sa réussite; mais le choix du positionnement (un contenu qui satisfait un public ciblé).
neutral	3	46807	Inforgraphie : Le chemin pour bâtir la confiance sur Internet - ~http 
neutral	3	19029	Découvrez cette vidéo -- King Bems ft Charlie's - Vis Ta Vie ~http  via @user
negative	3	44851	Je suis en train d'attraper un de ces rhumes; j'en ai déjà marre.
neutral	3	12778	Chanter a son oral d'anglais ou ne pas chanter ?
neutral	3	33804	L'Argentine bannit les iPhone! ~http 
neutral	3	152747	Bueno; faut que je mette mes affaires de sport dans mon sac. Paye mes baskets.. J'vais prendre mes adidas le temps que ma mère m'en achète.
negative	3	7907	Ce soir personne au #twitapero du @user à cause du #BSG et de la #mn15; pq a-t'il fallu que tout ça tombe sur mes partiels !
neutral	3	22832	L'Hadopi sollicite les élus pour agir au plus près des citoyens (@Numerama) ~http 
neutral	3	30134	I'M Bach - 20e édition deas Vendredis baroques de Dardilly ~http
positive	3	734	Bonne rentrée à tous et à toutes Hâte de vous montrer mon prochain clip :)
neutral	3	27997	Il est 23h je vais faire la Vaiselle .. #MaVie
positive	3	8778	Xperia™ arc | Téléphone tactile Android - Sony Ericsson ~http  via @user // Me plaît beaucoup!!
positive	3	44757	Que des bonnes annonces de la part de Sony lors de sa conférence de presse à la #gamescom2011 !
neutral	3	192505	En ce moment; ce clip OK Go (avec des meubles IKEA) en 3D sur Nintendo Video de la 3DS : ~http 
neutral	3	46385	C'est avec le peuple et par son vote que l'avenir Tunisien se fera.
positive	3	31095	belle journée retrouvée un ami ^^ ce matin; naissance de petites tourterelles :) bronzage agréable !:) #bellejournee
negative	3	10945	Je veux pas allé bosser jeudi.
neutral	3	42960	Réseaux sociaux : utiles ou futiles ?: ~http 
neutral	3	35315	Captain America: First Avenger sort aujourd'hui ~http  #fb
neutral	3	37745	La promesse des yeux noirs de ma mère ~http
na	3	10226	por fin en casa
neutral	3	164853	Le premier Chromebook Samsung Série 5 disponible en France le 14 juin (via @user) ~http 
negative	3	22966	Je me pose ces questions parce qu'a lire la presse bleu; cette crise et ses 3000 morts st a imputer au pouvoir actuel. #civ2010
neutral	3	86979	Le Sony Ericsson Xperia Ray disponible la semaine prochaine: C’est le 13 septembre (mardi donc) que le Sony Eric... ~http 
neutral	3	38100	a remis en activité sa sega saturn... recherche un multitap ! et éventuellement d'autres jeux...
positive	3	23597	La neige est tombée dans la nuit; environ 10cm de rester ! C'est beau; c'est froid; c'est uniforme .. I love it ♥ :D
positive	3	932	Merci bienvenu à toi aussi @user. Merci pour les #FF @user @user @user
neutral	3	40051	+1 scan. MERCI de créditer Kstew France avec ce lien si vous diffusez cette image ! ¤ ~http 
positive	3	15778	*O*  *O*  *O*  *O*  *O*  J'ai trouver mon rêve de l'année prochaine *O*  *O*  *O*  *O*  *O*
negative	3	32773	Ce mal de crâne est entrain de me finir.
neutral	3	74379	Résumé de la conférence de presse sur la Nintendo 3DS ~http 
neutral	3	38448	Un citoyen donne l'historique du développement du Vieux Village.
neutral	3	41420	Pour savoir déshydrater ses repas soi-même. Conf. gratuite ce soir chez MEC Mtl : ~http
negative	3	23985	NAAAAAAAAN ; Pourquoi tu te fais autant de mal ! T'es un cas désespéré .. (@x3_Laydia live on ~http )
negative	3	28461	C'est lourd; d'être emphatique .qd il/elle s'fait mal j'ai l'impression d'avoir mal. Là J'chiale pck il/elle chialent .. #W9 c n'importeQuoi
negative	3	44591	Une heure de retard sur les aviOns.
neutral	3	24425	Les résultats de Tout Rennes Court 2010 sont en ligne !!! ~http
negative	3	11777	#Playstation_Network toujours down; merci Sony pour ces #Fail en série ~http
neutral	3	57077	Ingénieur Conseil Grands Comptes Developpement H/F: MICROSOFT recherche des Ingénieurs Conseil Grands Comptes De... ~http 
positive	3	10239	Si j'avais sur que le AMOGING réussi avait un tel impact :) .
neutral	3	38001	Voici un avant-goût de ce qui vous attend au Parc de Gros-Cap cet été: ~http  #ilesdelamadeleine #voile
negative	3	38202	Sarkozy est un "criminel de guerre" et un "retardé mental" --- c'est pas moi qui le dit --&gt; ~http 
neutral	3	8795	Qqun doué en japonnais ou chinois par hasard?
positive	3	1064	Bon à savoir - merci! RT @user Petite astuce pour télécharger ses données Facebook ~http  (via @user)
negative	3	16514	Un Dragofeu dans la gorge :(
neutral	3	49392	Je vends Lingerie Coquine Swen O sur #PriceMinister : ~http 
neutral	3	7513	[Twitter] Microsoft renouvelle son accord avec Twitter pour booster Bing ~http
neutral	3	12387	J-2 Printemps Nation organise 1"shopping solidaire" pr la recherche sur la cancer du sein samedi 25 septembre ~http 
neutral	3	15756	Et dire qu'avant c'est moi qui se foutais de toi x)  Mais c'est vrai que j'pense que c'que tu dis n'est pas faux :Chuuuut!:
negative	3	19485	Retour au boulot après deux semaine de vacances : j'ai envie de démissionner ...
negative	3	32427	un clochard de ma ville qui s'appele Alfarez a fait tombé l'iphone de quelqun ds la rue. #dur
positive	3	10988	Je vous aime !
na	3	24597	Marina &lt;3 ! & tout le monde :P (@MarinaSomers live on ~http )
neutral	3	37510	Mon avis sur Rose Bakery; Paris : ~http
negative	3	23056	J'me sens bizarre mentalement depuis 19/20 heures tout à l'heure; je comprends pas pourquoi. Je comprends pas plus ce qui se passe.
neutral	3	21314	Viens de voir "Arthur 3: La guerre des 2 mondes" de Luc Besson en 2010.
neutral	3	28470	#imagine que tu écoute un MSG vocal mais que tu répond à la personne jusqu'à ske tu prenne conscience que c tn répondeur #MaVDM #2hDeSommeil
positive	3	31019	Allez on met DES Buts !! ALLEZ LYON !
neutral	3	6331	Pop - Marie-Christine - Walk In Beauty | Critiques | Musique | Canoë ~http
neutral	3	46504	prépare le #1ermai
neutral	3	7979	LFMQ en fin de semaine: Saguenay vs Beauce à 14h00; St-Georges. La revanche des X-Men sur les Mercenaires? ~http 
neutral	3	7706	J'ai acheter le 1; 2; 3; 4 en poche aussi. les autres jles aient pas encore. (@MorganeAnnaa live on ~http )
neutral	3	31583	Ou comment déconcerter les manifestants.  #Egypte #Mubarak
neutral	3	47315	salut je me nome Krissy et toi?
neutral	3	37364	Marie ou "la fontaine d'eau renouvelable" ! #ss5
neutral	3	47284	Regarder cette vidéo -- Jena Lee - Emo/RNB ~http  via @user
neutral	3	38418	Nouvel article sur mon blogue : ~http 
neutral	3	168888	Conférence Nintendo vue... Big N&gt;* s'tout.
neutral	3	45850	Apple achète 16 nouveaux domaines pour capter les fautes de frappes faîtes sur itunes.com ~http 
negative	3	23386	30cm de neige; le déluge et la patinoire pour les voitures... :/
positive	3	11429	Besoin d'un fou rire de 3 minutes ? : ~http 
positive	3	23004	Je sens que ça va etre meilleur que le premier; du meilleur au casting ! ~http  &lt;3 #testosterone #expandables #yeahbaby #XD
neutral	3	47128	J aimerais connaitre votre  avis sur ~http  Merci
positive	3	19938	Le Home Staging est un incroyable accélérateur de vente pour votre bien immobilier et c'est le bon réflexe à avoir ~http 
neutral	3	49251	Pochette de l'Album : Le Bien Du Mal ~http
neutral	3	23804	Ouverture d'un store Superdry à Lyon: 52 rue de Brest ; Lyon 2.
positive	3	27804	J'aime quand il pleut tousa² #BienDodo #BonFilm #Grignotage #MARIA #PasÉcole #Yezzeuu
positive	3	2029	Bien sympathique ce flim. Prévisible; mais sympathique. Et l'actrice principale; graouhx2. cc @user @user
neutral	3	190333	GAGNEZ des enceintes bluetooth de salon Samsung (de +100 €) avec @user et @user ! ~http 
neutral	3	138149	Vous feriez quoi avec le SAMSUNG GALAXY NOTE ?  ~http 
positive	3	43077	Bons plans!!
neutral	3	47092	À propos de : La Ville et les Chiens; le premier roman choc de Mario Vargas Llosa: En décembre 2010; le jour de ... ~http 
