sentiment	numberagreed	tweetid	tweet
positive	3	1304275	I'm going to sleep so good tonight! Nightttttt&lt;3
neutral	3	2706773	#nowplaying...Remeber When - Gucci ft Ray J
neutral	3	1738502	#thingsgirlswantboystodo Is EveryThing They Don't!!
neutral	3	43181	Re calculating re calculating
neutral	3	1947770	In the words of @user cats have nine nipples.
neutral	3	2559429	at Hundman Lumber in Bloomington IL today. will catch up with ya later let ya know how it went #tipsontour
negative	3	2531666	Well; Colorado sure is friendly- never witnessed a blatant flipping off of a semi before #middlefingerseverywhere #bigmove #15mphunder
negative	3	2955118	Thing tomorrow might be a coding and design day after I am done shouting at the morons at microsoft first thing
neutral	3	1449372	“@WhisperingBob: RT @user Opening for Philip Sayce at ABC Glasgow tonight at 7:30pm. Then playing (cont) ~http 
neutral	3	2334085	16 If you want more followers you should try ~http  .
positive	3	2828125	The hilton hcr is a great place. Can't figure how u would have a bad time there.
neutral	3	401053	Anybody wanna buy a brand new samsung galaxy for at&t wit da cam on da front
positive	3	2820186	Went fishin' today....well sorta. Mostly just watched my cousin; aunt; bro; & papa. LOL! Had fun though.
negative	3	2712264	Can be bothered with brekky to cold! And my back hurts :(
neutral	3	10674	Gonna leave it at that. Now its your turn.
neutral	3	2951570	The Paper Dollz Blog: JENNIFER LOPEZ AND TWINS FACE OF NEW GUCCI CAMPAIGN ~http  fashion stylist .
negative	3	2650802	If you are 60 please don't rock you collar up and spike your hair... Not the best look...
negative	3	414314	Whelp; to continue on my rant of how Nintendo sucks; they just told us that all 3DS systems will be going to big box retailers. No indies.
neutral	3	429131	that was close :C
neutral	3	2321656	I'm southdallasswaggin at work right now to this new gucci mane
neutral	3	157503	Listening to Bear Vs. Shark; drinkin' some Pabst; looking for inspiration.
neutral	3	154718	[WATCH] adidas Originals – All Originals; Iconics Commercial 2011 [VIDEO] ~http  via @user .
negative	3	960972	ughh have no idea anymore!! need ideas... :(
neutral	3	1431152	Running a @user on my #BlackBerry. Brb!
neutral	3	385211	Haha well put RT @user @user I would argue that there's a fine line between attitude and opinion :)
neutral	3	1408211	#nowplaying You by Raheem DeVaughn; via @user
neutral	3	2265585	Free "Ten Tips for Classroom Management" guide for download from @user ~http 
neutral	3	800590	see Gucci ; thats my muhfucckinn niggga !
neutral	3	3206745	Armani Clothing  Lacoste Shoes 2011  Armani Jewelry  Gucci Caps  Nike Shoes  Free Shipping & Fashion2011 ~http 
neutral	3	132471	Computerworld Malaysia Honours the Vendors Who Care the Most: Record no of awards for Microsoft ~http
negative	3	493321	That was pretty stupid.
negative	3	3273879	There's a guy who's about 25 on my bus with an adidas bag covered in menchies. When did this become acceptable?!
neutral	3	1692871	There was a armed robbery at the Chandler mall and a Hilton hotel 14 miles away from where I live. Yeeeeeyy &gt;.&gt;
neutral	3	363239	I think I'm sitting next to Greg Proops on the train. I need to be sure. Where's Ryan Stiles when you need him? #who's(blue)lineisitanyway?
neutral	3	2775287	You didn't tell me you got a new car. I just saw you in front of the sawmill you must be going to Sunday brunch
neutral	3	1927318	AT&T Dads & Grads Sweepstakes - Win a Samsung Infuse 4G from AT&T ~http 
negative	3	236775	#iregret ever laying eyes on you!! ol #DirtyBitch
neutral	3	2157711	Fresh Samsung Epic 4G with Cords + Chargers Galaxy S ~http 
negative	3	2011824	Feeling lower than low. Why can i never keep a relationship past 3 months?
neutral	3	149226	Need to start all over again
neutral	3	2257692	The site is call ~http  I was selling motorcycle fairings..
neutral	3	3089285	Gay clubbing with the brazilian ambassador to thailand. He's wearing a nike t shirt.
neutral	3	2335448	I guess so did u get a key
neutral	3	1597384	He was a SF NCO and told group of 90 he had been through every USA program. He was going to talk to the SF SGM and Gen Officer to hear me
neutral	3	2421822	$129.99 (16% off) Sony Cyber-shot DSC-W570 Digital Camera at Best Buy ~http 
neutral	3	414263	Huh? I didn't know Microsoft was making a Bluetooth headset for the 360.
neutral	3	3550056	Free Nintendo DSi XL For Real ~http 
positive	3	2623116	Over a month strong no ciggs
positive	3	1091646	Love this photo&lt;3 @user  ~http 
neutral	3	2317647	Finally migrated from Lotus Notes to Microsoft Outlook at work.
neutral	3	1016378	The flawless weave of our new Sony Vaio Z case made with 5 layers of carbon fiber on the exterior and a custom... ~http 
neutral	3	179364	Be sure to follow MSandCo on Facebook and Twitter to win this watch. ~http  ~http 
neutral	3	2203278	Buy for nike shoes cheap at ~http  #ineedtostop #ripnickiminaj
positive	3	2109286	There are new cross walk blinkers in nike and they talk. VERY entertaining! :)
neutral	3	902776	Camera SONY ALPHA DSLR-A700 DIGITAL CAMERA+16-105mm 8GB KIT Price: $380 USD Online Order: ~http 
positive	3	1617170	Happy with my new Sony handycam :)
neutral	3	1090462	Jump Start Real Estate Investing; Business / Investing #Business #Investing: Step by step tutorials for new real&#8230; ~http
positive	3	2391577	Watching sister; sister I use to love this show
neutral	3	2028830	I uploaded a @user video ~http  Yung Dolla$ - Tired Of Shit'n
negative	3	2848256	Missing Gucci and the boys :( get me back to cyprus!!
neutral	3	2134731	So much has happend in 4days; Damn.
neutral	3	3090108	Genius or Madness: German court awards permanent ban on Samsung GALAXY Tab 10.1 in Apple case ~http 
negative	3	1618650	Apllo 18 SUCKS!! #worstmovieEVER
neutral	3	2758146	What agencies provide assistance in creating an in-house CRM system? ~http 
na	3	1581265	SeE WatchU Made Me Do 4 Da $$$ O WelL I&&#35;39;m gucCi nOw; j FUCKDAWORLDTTE Letz Get It PoppiN @ Dis Audition!!!
neutral	3	2067278	NOW AVAILABLE: Manchester United 2011 Core Soccer Cap by Nike - ~http 
negative	3	3161902	Apple to miss out on Samsung sales injunction; won't share new devices ~http 
neutral	3	1536880	Week in tech: Anonymous vs. Sony edition ~http 
neutral	3	2015624	It's just pussy:/ eeeeeeeeeee.
neutral	3	1766137	#LeBronHairLineThemeSong....Upside Down---Diana Ross :)
neutral	3	106950	Watch this video to get a glimpse into the life of Ahmed; a Palestinian refugee living in the Burj el-Barajneh... ~http 
neutral	3	132470	Microsoft Milking The Cloud Contest moves into Round 3; some Bing goodness ~http
neutral	3	432317	Looking @ my Gucci it about dat time
neutral	3	695935	Cheat Sheet: 10 Tips and Tricks for Microsoft Word ~http 
neutral	3	1444618	Missed out on MicroSoft stock? I did too...Click On Our Profile Link but now @user @user @user @user
neutral	3	3126422	What feature do you want the 3G S for the most? For me; GPS; Compass; Nike + and the new cam.  I'm a hiker; runner; biker; photog! #Trackle
neutral	3	2227457	Acer and Viewsonic sign patent licence deals with Microsoft to protect Android ~http 
negative	3	3546193	Dis is crazy we sittin here at dis hotel tryin to gt to the Hilton hotel!. 
positive	3	2297507	HOORAY! Burn; with @user. #followback
positive	3	1183094	So not to brag or anything but my friend Cody is amazing. He brought me cotton candy 'cos I was feeling down. &lt;3
neutral	3	1617093	Reinforcement of what @user always says in the daily devotional at ~http 
negative	3	638532	Tell FOX News: Newt Gingrich's Obama/Nazi comparison goes too far; even for your network! ~http  @user @user Pls RT
neutral	3	2828826	Aww @user  i looove ya! I'm on my waaay home so when I get home were hanging outt!
positive	3	953292	Damn that shower was good #Winner
neutral	3	80841	If you want to learn more about Center on Sustainable Communities; please go to their website @ ~http 
positive	3	1250158	My best Valentine's Day to-date just ended. Time for bed.
neutral	3	260813	Hope I Win .
positive	3	1882552	Ok; really starting to dig this whole video thing.  The right tools makes all the difference. Sony Vegas...nuff said.
neutral	3	2100088	#ScaryMovieRulesToLiveBy When u run to the car; dont drop the keys trying to put them in the ignition. Calm down & lyke nike just do it
positive	3	993829	The Microsoft crew are in the office! A team of about 10!! It's like a Hollywood set in here :)
positive	3	3410264	Had a great day working with the womens NIKE team!  Amazing Athletes from the States!
neutral	3	1520008	Photo:  ~http 
positive	3	63007	Thanks RBC!  RBC Heritage in Hilton Head fully sponsored through 2016.
neutral	3	2560696	Rootkit infection requires Windows reinstall; says Microsoft  ~http 
neutral	3	474118	I commented on a YouTube video ~http 
positive	3	309668	Thanks to @user for providing the information on how to get the Nintendo 3DS Ambassador Program free games. #MuchAppreciatedInfo =D
neutral	3	3501964	attorney: Phoenix Wright: AA Case 5 playthrough pt38: DSP plays through the Nintendo DS-specific case for Phoeni... ~http 
positive	3	1745878	Girls grab ur ladies and head to @user tonight with @user!! It's Gucci Month!!
neutral	3	1281448	I should be on cam around 1pm pacific. Highest offline tip before I get online wins a huge gift pack of your choice! ~http  GO!
neutral	3	402258	Wanted 15 Beginners to learn a Simple; Automated System Designed to put money in your pockets within 24 hrs. ~http 
neutral	3	2797651	Gov Malloy says too early yet to order state workers to stay home
neutral	3	3542212	Can anyone plz help me find a cardigan like this one it doesn't have to be nike but something simmelar to this. ~http 
neutral	3	1291876	#NP Gucci Mane - Stevie Wonder
negative	3	1174636	What the hell is with Paris Hilton arrested ! @user is offering something useful instead! ~http 
neutral	3	1998079	hello does anyone know how to put audio device back on a sony vaio?
neutral	3	2310429	Manticore Technology is Now Available on the Microsoft Dynamics Marketplace ~http 
neutral	3	2015231	Apple tops microsoft as worlds biggest tech company
neutral	3	374361	#HowToPleaseAHoodRat sell puffy nike jackets in summer
neutral	3	126040	Gucci on the Pandora Gucci in the car
negative	3	1817646	“@mynichols: Why is it so ding dang hot in this church?! UGH!!!!”  Did I do it? :-)
negative	3	252852	Just kill me now.
neutral	3	3542822	Head down Samsung and you'll pass the onsite school on your right! ~http 
neutral	3	641746	Reusing practice LSAT's will not hurt you: ~http
positive	3	609920	Just saw an Audi r8 my day is made #dreamcar
positive	3	486109	No matter where life takes me find me with a smile.
neutral	3	1087382	UK bans R4 cards; makes Nintendo DS pirating 'double illegal' ~http 
negative	3	1590054	That awkward moment when you're making potatoes and u forget about them; so the water overflows and your dad doesn't come home so ur screwed
neutral	3	2373232	Going to school at one
neutral	3	1982056	Lakers Squeak Past Thunder 90-87 ~http 
neutral	3	122056	Facebook Adds Video Chat With Skype; Deepens Microsoft Ties ~http
neutral	3	1632917	Hot ! Microsoft Security Update : ~http 
neutral	3	2359674	Right Here We Are Going To Be Taking A Better Look At The Sony BDV-E770W 3D Blu-ray Player Home Entertainment System ~http 
positive	3	2779489	im onsomniactic (spelling baha) cant sleep! busy working on the project with my girls (: cannot wait to go street hunting.
neutral	3	899536	Libyan freedom fighters firing bazookers with adidas tracky bottoms and reebok classics on #fukinbelterslid
neutral	3	2474609	Google v. Bing on Superbowl. A spamtastic symphony that would make angels cry RT @user ~http  via @user
neutral	3	456366	And more Nike boots
neutral	3	1178132	Which Camera Should I Get: Nikon D5100- ~http  Sony SLT-A55- ~http  Im leaning towards the Sony
positive	3	100110	wow those nike air mag shoes are something serious
neutral	3	1566802	Now on the blog: Gucci by Madonna; Charlize Theron for Dior; Scarl. Johansson; Fendi exhibit &gt; click here ~http 
neutral	3	3309640	Check Out: #2: Super Mario Galaxy (Nintendo Selects): Super Mario Galaxy (Nintendo Selects) by Nintendo Platfor... ~http 
neutral	3	117291	balackberry and samsung cell phone chargers ( Kawartha Lakes ) $14.00 ~http
positive	3	2266784	Everyone desvers a second chance because everyone makes mistakes.♥
neutral	3	1700048	Lol 404! & 704 next weekend RT @user @user u GUCCI then!!! U in the 252 this weekend or 404
na	3	2136397	Ngicela i ice emanzi; hai black people kodwa lol #fb
neutral	3	1156379	playing Animal Crossing lets go to the city x x
negative	3	1303105	Saw someone running in Nike Shox at the gym this a.m....people still run in those?!  #WorstShoesEver
positive	3	2511057	Thank you Adidas #allpowerful
neutral	3	720713	Any suggestions on how I can get  More followers!?? Anybody???
positive	3	1968512	Jaminn in the car :)
positive	3	2122663	Woohoo booked tickets for harry potter on friday!! Cant wait too excited ha
neutral	3	1615520	At prespa with legit everyone.
neutral	3	153885	Our Pink Breakfast Kickoff is THIS THURSDAY; 7:30am; at the DoubleTree by Hilton in Downtown Orlando! Get those RSVPs in ASAP!
neutral	3	731236	Could Microsoft OneNote be a good basis for building an Electronic Medical Record; based on (un)structured data input? Going to investigate!
negative	3	1801353	Waiting for all these people 2pay w/their stupid food stamps @user. Com'On people I just want a bottle of vodka let me go first!
neutral	3	81024	Nintento cuts price of Wii for first time: Nintendo announced the first price cut for its Wii games console foll.. ~http
neutral	3	2587078	#MM Check out "Hella Fresh 31" podcast by @user ft new cuts by Redman; Ludacris; Gucci Mane; Money Major & more!! ~http 
neutral	3	2303813	Microsoft partners dealing in providing licensed Microsoft Products in Karachi may urgently email me on mma_ansari@hotmail.com
positive	3	1492272	Burnt marshmellows and hawaiian chips. YES.
positive	3	1887520	Just got some DKNY jeans and Nike shoes for the low; low. #Loveoutletmalls
neutral	3	755435	gucci gucci 2x say it 2x's
neutral	3	1061744	#ghettodreams is the @user making out of Murray..
neutral	3	1176522	Bought a nintendo 3DS Play Street fighter 4 Won a tournament in street fighter Watched Naruto & One Piece  #ThingsIDidOverTheSummer
positive	3	522835	If you missed our news! Well we now have a B&M Stockist who we are so excited to have with us! For Queenslanders... ~http 
neutral	3	997463	FRIDAY SPECIAL! Come in for ANY MASSAGE of your choice tomorrow; Friday the 4th and recieve a Gift Certificate for... ~http 
neutral	3	2422372	online social media marketing tips ~http
neutral	3	246305	Contract Hire/Business User Offer Email Campaign for Audi dealer #Audi ~http
neutral	3	191855	Nike Tec Tuff Air Force 1 Deep Burgundy (315122-605): The Nike Air Force 1 Deep Burgundy (315122-605) shoe was c... ~http
positive	3	2336931	“@InKrediBle_K_: Brownies and ice cream!!! Yuummy” Tha fuk!!!
neutral	3	1659387	Lady gaga to record bond song? ~http 
neutral	3	3083728	Why isn't there a Nintendo theme park? If I could; I would build one myself.
negative	3	2203243	I caught almost every single red light on the way home. Pissed me off lol
negative	3	363448	Hate my samsung galaxy fone with all ny heart.
positive	3	866043	Lol my roommate just made me help her with her radio commercial... it came out pretty good! :)
negative	3	2750671	Oy tommm you fucked my bike
negative	3	1962286	You know when you feel so incompetent and utterly useless? ..yeah.
neutral	3	391417	Funny. RT@TakePart We love our Macs; but have you seen this Microsoft Office 2010 trailer?! ~http 
neutral	3	736091	Energieverslinders: ~http
neutral	3	2426615	Is gonna be on supa dupa chill
neutral	3	89610	Just Published: Microsoft and Yahoo! Search Alliance: a new milestone for Europe as Yahoo! Search organic sea... ~http
positive	3	2641998	My friends are great
neutral	3	2621643	Local unemployed moms earns $1000 per week work from home jobs online. find out how; Click here ~http 
neutral	3	254911	Burrrr its gucci time
neutral	3	3293099	Malik And Aubrey Singing Sorry For Wait..Smh ! They Version Of Gucci Gucci ..."One Big Girl Full Of Badd Bin " Ctfuuuuu Sayy Whaa?? Huh!
neutral	3	3045054	Fresh on nike shoes: Latest Wholesale Nfl Hats auctions
neutral	3	1710219	ADVANCE FAIR 'til 1May. Special price for Hula Chair & more special offers. Talkshow 'Resiko Obesitas' with dr. Bing Haryono on weekend #fb
neutral	3	164648	muahahahaha it has begun.
neutral	3	1039667	The Tie ~http  @user @user
neutral	3	2781095	Photo: NIKE 6.0 Cash for Tricks Intl. Final @ Anglet ~http 
neutral	3	3402126	Looks like microsoft word are --&gt; Gap to Scrap New Logo; Return to Old Design ~http 
neutral	3	2728279	I met animatronic Buckbeak the Hippogriff on the set of Prisoner of Azkaban. Er; have also been in Hagrid's Hut. #lameclaimtofame
negative	3	729826	Idk if i want to any more!!!!! Just call me bad decision Mike lol.
negative	3	1688970	have my bangs down; they look dumb tho
neutral	3	2644187	What the heck is Microsoft doing? | Articles ~http 
neutral	3	2394420	Yoga pants .T shirt . Nike Flops. Hoddie
neutral	3	2636786	The heart was willing but the body was weak. ARGH... the sun!
negative	3	2750802	I'm definitely not gonna be relying on Microsoft word for spelling; anymore. How the hell is "unidentical" not a bloody word? o_0
neutral	3	2787815	Interesting...Apple signs with Sony for a cloud music service.  ~http
neutral	3	1562912	if you dumped him after a week.. does the no ex-boyfriend rule apply?
neutral	3	2321667	#nowplaying Gucci Mane - Writing On The Wall 2
positive	3	2550452	Cant wait to see it during #baltimoreGP RT @user #IndyCar Big air for @user . Saw it again this weekend and it's great!
neutral	3	2296656	Surreal-Playboy NYE 2011: Playboy New Year’s Eve Party at The Hilton Chicago Downtown Hotel Ft T-Pain; Jump... ~http 
negative	3	1718954	Mad I keep losin connection
neutral	3	902915	Camera SONY ALPHA DSLR-A700 DIGITAL CAMERA+8GB KIT NEW Price: $320 USD Online Order: ~http 
neutral	3	367704	I liked a @user video ~http  Nintendo Stream Update April 26; 2011
neutral	3	88993	Anyone planning a party for your team or committee? Microsoft has some prizes to give away and will assist. Message me for more details.
neutral	3	84472	Someone call me
positive	3	1009894	Here we are again; well hello there :)
neutral	3	205300	I'm gon need you to say somethin baby....
neutral	3	2028279	Gotta be in tune with your inner playaa
positive	3	1140766	I love jack murray
neutral	3	89269	Stay connected with MSCCN right from your phone!  Download the Microsoft Tag app from the Android or Blackberry... ~http
neutral	3	397005	NASA ISS On-Orbit Status 17 August 2011 ~http  :O sony digital camera reviews
neutral	3	75256	jesus; the knicks gave up half the team; 50 cent; Nas; the gucci store on 5th ave; and 10 cheesecakes from juniors for carmelo
neutral	3	3575305	69 year old DJ- an Adidas viral initiative? ~http
negative	3	1364749	I swear I hate this time of the month! So inconvenient -____-
negative	3	232854	Remembering why I so dislike using Microsoft Project...
positive	3	1133752	#ICanHonestlySay that were not perfect but were perfect for eachother #inlove
neutral	3	1099586	Nintendo - Nintendo Wii Console (Black) with Wii Sports Resort | MacroAuctions » ~http 
positive	3	2430911	The cd is coming along... Hopefully within the month!
neutral	3	1076853	cop that PBZ "Madonna" feat Gucci Mane @ Itunes/Amazon & all mobile retailers...
positive	3	2577468	#ff @user he's amazinng at dancing; singing! He's part of @user :D he's really good looking! (cont) ~http
positive	3	811453	COME ON USA!!!! LET'S FINISH THEM OFF!!!!! #USA
neutral	3	51509	&quot;Black Out!&quot; from our new album &#39;Live from Studio 10&#39; is now on the MR myspace page
neutral	3	1007318	Photo: littleradge: ~http
neutral	3	583255	Las Vegas Hilton sportsbook lists @user as the betting favorite in the @user odds ... log on to lpgatourlive.blogspot.com
negative	3	961503	Im snatching all your bitches at my leisure  Gucci Gucci;Louis Louis;Fendi Fendi;Pradaa! Basic Bitches Wear That Shit So I Dont even bother
negative	3	499138	Idc how close u think we are I'm not going trust u fa shit
neutral	3	2041912	post up on Nike & Hyperize: ~http  #musicmonday
neutral	3	1250091	PCs are Better Than Macs; says Microsoft ! ~http 
neutral	3	902881	Laptop SONY vaio js270j/q 20.1" all-in-one desktop intel core 2 duo Price: $339 USD Online Order: ~http 
positive	3	1714339	A great Christmas Eve day shopping. The find of the day was a vintage Bing Crosby Christmas LP! We are enjoying it now. Merry Christmas!
neutral	3	1570057	porn incest Aleska diamond lexington steele - XVIDEOS.COM you hard ~http 
neutral	3	92626	Ready to see what my boy Ingram gonna do...#RollTide
neutral	3	2850112	The 3DS might be the best thing ever; but Nintendo didn't show people's reactions like they do in ads for the DS and Wii. Why?
positive	3	1823148	Happy New Year everyone! xoxo
neutral	3	3172332	NVIDIA and @user are giving away a free Samsung Tab 10.1 Honeycomb tablet ~http  I'm gonna win it.  Sorry.
neutral	3	2230206	:| RT @user RT @user Samsung said to be considering webOS acquisition from HP ~http 
negative	3	1791118	Haven't thought about him at all and now I miss him Cus he on my timeline ...ugh FML
neutral	3	3202178	"What's Gucci my n***a? What's Louis my killa? What's drugs my deala? What's that jacket; Margiela?"
neutral	3	2041186	We get our hands on the two new Sony Android tablets- the S1 & the S2 ~http
neutral	3	154770	MYBOOMBOXX.COM : Gucci Mane & Waka Flocka Flame – Pacman [VIDEO]: Gucci Man & Waka Flocka -PacMan Directed By @user... ~http
neutral	3	1471103	I liked a YouTube video -- Sin City Effect - Sony Vegas Tutorial ~http 
positive	3	157204	Having a well deserved beer waiting for mates to finish work after an intense Microsoft BizSpark Session. #Azure #SBSCA - 1 Martin Place
neutral	3	1141195	- rdyy hop in the showerr nd layy it downn .
negative	3	280442	Guys suck. They should all die. right now.
neutral	3	617938	Google vs. Bing &mdash;  a Quasi-Empirical Study: ~http 
neutral	3	231212	I need a haircut
neutral	3	176265	If you ignore your need for rest (in ministry) your going to crash @user
neutral	3	372353	“@Ryan_Kent: Just woke up and already I can't wait for my nap”. Oh me too; me too
neutral	3	3194530	Zelda Ocarina of Time comes out for the Nintendo DS on June 19th ~http 
neutral	3	1214322	Read Sam and Midnight's touching reunion story: ~http 
positive	3	451398	Rihanna look hot!!
neutral	3	3451816	At @user in the sony pictures lot. What to do; what to do...
positive	3	944678	"They wonder why; don't I; go get myself a job so I can make; them bucks but I don't give a fu*k No I feel great; bit*h I feel great"
neutral	3	1353573	Lookin real busted right now: wife beater; blue nike shorts; and some blue NB
positive	3	2590910	I like to listen to Gucci Mane and sing along at full volume#easilyentertained
neutral	3	3045064	Fresh on nike shoes: Jeff Gordon Auctions Off Hats; Helmet; and Dale Earnhardt; Jr’s Firesuit for Charity
neutral	3	486283	Cut the lights on. Gucci Timeee.
positive	3	2650404	Scratch that...the best part.about driving a VWBug is watching 40yr old men punch each other as I drive by #iwontgrowup
neutral	3	792735	[Singles] G4 Boyz &amp; Fred the Godson - &quot;Everything Gucci Rmx&quot; ~http 
neutral	3	2469865	Check this video out -- Kylie - Flower (Unreleased X2008 Video Projection) ~http  via @user
neutral	3	1519022	What is your favorite brand for razors? Do you use disposable or not?
negative	3	1067573	The lady next to me on the train is snoring like no other... #fb
neutral	3	2472888	Did not know that IE 9 is the last Microsoft browser that will recognize conditional comments #WhartonWebConf
neutral	3	155076	New blog post: ~http  - Microsoft Dynamics Sessions at Tech Ed Australia
positive	3	2139757	'Imma be rockin d gud life'
neutral	3	326396	Video footage of fire at Sony distribution centre; Essex - ~http 
neutral	3	2863243	android smart phone Apple iPhone 5 vs. Samsung Galaxy S2 Plus; Rivalry escalates  Internati... ~http 
neutral	3	2661716	Doll Time... Lolita Meet up 07.08.2010 ~http
neutral	3	2474560	Elop; Nokia’s new CEO formerly worked for Microsoft RT @user Microsoft to pay out billions as part of Nokia deal ~http 
neutral	3	2327798	I just took the "What Kind of Car Are You?" quiz and got: Audi R8! Try it: ~http 
neutral	3	2542421	University of bath gets way better treatment than bath spa
negative	3	326274	"BANKERS STOLE OUR MONEY SO NOW IM GON STEAL A SONY FROM CURRYS" say people attempting to justify #londonriots . Sound logic there...
neutral	3	1832873	~ Should mention - students only.  RT @user Want an Xbox? Buy a Windows 7 PC and Microsoft will give you one for free ~http 
negative	3	813498	IKR RT @user How can you compare a damn Android phone to a FREAKING AUDI OR ROLEX WATCH man. It's just a fucking Android phone.
neutral	3	2227504	German Ban on Samsung Galaxy Tab 10.1 Remains in Effect ~http 
neutral	3	1415837	What you doing up in here! (Daddy) lol RT @user A hour of sleep; and @user wants to show up at my apartment
neutral	3	760961	Wow I haven't been on here 4ever! What's up everyone?!?
negative	3	142294	Optimism is Running Low these Days
neutral	3	2248351	New Article: Sony VAIO VPC-EB37FX/BJ 15.5-Inch Laptop ~http 
neutral	3	230747	Who remembers microsoft encarta? And the grandmaster flash video on there? #howhiphopchangedtheworld
neutral	3	1508430	How do u get rid of wasp nests???
neutral	3	3045052	Fresh on nike shoes: Tami Lynn Collection of Accessories Makes Debut
neutral	3	3456995	DEMO: Microsoft #WP7 Mango Software Update ~http 
negative	3	972401	I REMEMBER I USED TO LOVE HIM#GAVEUPONHIM
neutral	3	2685124	What to read? ~http 
positive	3	1434050	Wow this single mom is a friggin herooo *thumbs upp* Im so proud! ~http 
negative	3	188411	“@CatwOmanBytchz: Mii Auntee Just Told Me Mii Skin Color Khaki!”.&lt;--- rt shut khaki ass up & hell nawl u can't borrow my adidas jacket
neutral	3	129822	Added a new video: "She Ride featuring Gucci Mane and Lil Frost" ~http  #video
neutral	3	2207403	Getting ready to go to Krabi; Thailand to establish a mangrove monitoring strategy for Thailand with @user. @user
neutral	3	1901706	Lahna on choking the chicken: ~http  get your mind out of the gutter!
positive	3	2236799	Anyway; the new insanicast is rendering in Sony Vegas right now; and oh boy this one's a good one. Expect to see it online soon. :&gt;
positive	3	1724536	I can't wait to hear @user in the Sony exclusive version of Saints Row 3. I'm guessing the line will be "Big ass chains ... in 3-D!"
neutral	3	2704327	"They may call me a sinner; but I am at peace with myself."- Brigitte Bardot
positive	3	1092435	Dinner and vino with wonderful frands :)
positive	3	1128999	Perfect day :)
